Row ID'n,Order ID'n,Order Date'n,Order Priority'n,Order Quantity'n,Sales,Discount,Ship Mode'n,Profit,Unit Price'n,Shipping Cost'n,Customer Name'n,Province,Region,Customer Segment'n,Product Category'n,Product Sub-Category'n,Product Name'n,Product Container'n,Product Base Margin'n,Ship Date'n,PRIN1,PRIN2,PRIN3,PRIN4
135,868,08Jun2012,Not Specified,31,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Consumer,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,10Jun2012,0.025644687,-0.281597057,0.934871657,-0.284916912
149,933,04Aug2012,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,04Aug2012,-0.725715808,0.337550793,-0.847176383,-0.982538194
160,995,30May2011,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,31May2011,0.082601193,0.948772206,0.885664796,-0.455572969
161,998,25Nov2009,Not Specified,16,248.26,0.07,Regular Air,93.80,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,26Nov2009,-0.686533426,0.249869609,-0.799210667,0.588254793
175,1154,14Feb2012,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Consumer,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,16Feb2012,0.872262233,0.125212714,1.155678619,-0.178364756
176,1154,14Feb2012,Critical,11,663.784,0.25,Regular Air,-481.04,71.37,69,Sylvia Foulston,Nunavut,Nunavut,Consumer,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,16Feb2012,0.65603511,-2.691736502,0.543238902,6.05739549
203,1344,15Apr2012,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,22Apr2012,-0.294450033,-0.457921671,-0.17676019,0.239107957
204,1344,15Apr2012,Low,18,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,19Apr2012,0.173595348,-0.18528541,-0.186437687,-1.28994886
213,1412,12Mar2010,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,14Mar2010,-0.811978479,0.171215441,-1.017081778,1.507478845
214,1412,12Mar2010,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,14Mar2010,-0.23836609,-0.833328632,0.936223341,-0.064082987
229,1539,09Mar2011,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,11Mar2011,-0.437600269,0.347874742,-0.13509708,1.63462356
230,1539,09Mar2011,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,14Mar2011,-0.22689155,-0.144100391,1.139299568,0.069649111
231,1540,04Aug2012,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Consumer,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,06Aug2012,-0.478136106,0.038133825,0.351699034,1.285942199
249,1702,06May2011,High,23,67.24,0.06,Regular Air,4.90,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Consumer,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,07May2011,-0.531771863,-0.016596033,0.037934328,0.301344441
250,1761,23Dec2010,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,25Dec2010,2.023976149,-0.371342443,-0.963915561,-1.193499894
256,1792,08Nov2010,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,13Nov2010,-0.319442209,-0.082074686,0.467054241,-0.298890162
330,2275,21Oct2012,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,22Oct2012,-0.29723329,0.521583245,1.11936155,1.107082019
331,2277,01Jan2011,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Nunavut,Nunavut,Consumer,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,02Jan2011,-0.299046932,-0.961519045,0.40318833,-1.389578013
332,2277,01Jan2011,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Consumer,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,03Jan2011,-0.285533418,0.115145955,-0.56731203,0.298048991
362,2532,10Oct2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,11Oct2011,-0.539143834,0.978500823,0.099841755,-0.497649656
363,2532,10Oct2011,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,11Oct2011,-0.109021553,-0.779069543,1.126297042,-1.296111868
381,2631,23Sep2010,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,25Sep2010,-0.267764523,0.111074682,0.131931571,0.962780111
406,2757,19Jul2011,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,19Jul2011,1.051277893,-1.893131587,1.395579479,0.640741381
413,2791,09Oct2009,High,47,191.67,0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,09Oct2009,-0.457005458,0.965322128,0.502336379,-1.391351137
414,2791,09Oct2009,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,11Oct2009,1.083567272,-0.166132458,1.415935671,1.414664976
415,2791,09Oct2009,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,10Oct2009,-0.560507537,0.163870663,-0.736519747,1.537703093
440,2976,09Dec2010,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,11Dec2010,2.993064629,1.110624432,-0.399074047,1.398496879
471,3232,08Oct2012,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,10Oct2012,-0.814351104,0.042770125,-1.35432521,0.199432113
513,3524,02May2012,High,21,427.32,0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,03May2012,-0.500641709,0.425587027,-0.539812091,-1.570153326
577,3908,08Mar2010,Medium,8,820.284,0,Regular Air,-180.20,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,08Mar2010,-0.36266433,-0.491200694,-0.584971105,-1.681471324
606,4132,28May2011,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,30May2011,-0.853497909,0.200419982,-1.296694269,-1.361058835
656,4612,19Sep2010,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,21Sep2010,0.18868402,-1.670479809,0.291987771,0.132659123
669,4676,31Aug2011,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Consumer,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,01Sep2011,-0.188579927,-0.590380567,-0.44005566,-0.413283224
670,4676,31Aug2011,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 510,Small Box,0.37,02Sep2011,-0.500508726,1.24663302,0.51022385,-0.420730904
671,4676,31Aug2011,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Consumer,Office Supplies,Paper,Xerox 1881,Small Box,0.38,02Sep2011,-0.762584123,-0.151450331,-1.320791513,0.491771046
672,4676,31Aug2011,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Consumer,Technology,Telephones and Communication,LX 788,Small Box,0.58,01Sep2011,0.639366611,0.504063118,0.262424927,-1.184221909
734,5284,08Jul2011,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10Jul2011,-0.800206201,-0.068061527,-1.198171905,1.460836656
735,5316,30Jan2009,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,01Feb2009,-0.257524433,0.946825384,0.236590626,1.716854458
755,5409,08Jan2012,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,13Jan2012,-0.777521227,0.320749945,-1.066471623,-1.320487808
769,5506,07Nov2010,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,08Nov2010,-0.695467249,0.482075926,-0.643979961,0.006593789
782,5569,29Apr2010,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,01May2010,-0.509998485,-0.47779149,-0.349877695,1.155474233
786,5607,31Dec2011,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,03Jan2012,-0.470031558,-0.551567754,-0.221085535,-1.694611945
817,5894,12Aug2009,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,13Aug2009,-0.725848448,0.016956586,-1.351340621,1.468162989
818,5894,12Aug2009,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,15Aug2009,-0.481387658,-0.566577361,-0.764677764,-1.406555193
821,5925,12Nov2011,Low,44,3922.42,0.08,Regular Air,-354.90,92.23,39.61,Joy Bell,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,19Nov2011,0.925630807,-0.783946276,1.548883076,1.033326866
822,5925,12Nov2011,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,Nunavut,Nunavut,Consumer,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,19Nov2011,0.083902937,-1.022107766,1.064482528,0.591957655
839,6016,20Jan2012,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Consumer,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,20Jan2012,-0.670712406,0.323528756,-0.771488879,0.608999516
853,6116,20Mar2009,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,22Mar2009,2.675785096,-2.917411114,-2.586410154,-0.43978261
863,6182,21Jul2012,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,28Jul2012,-0.510753464,0.810835881,0.126375432,-0.185302945
864,6182,21Jul2012,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,25Jul2012,-0.637543533,0.247013824,-0.696281707,-0.342195056
911,6535,12Jun2012,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,15Jun2012,-0.395337132,-0.591036246,-0.294624479,0.518030871
950,6884,15Jan2009,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Consumer,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,20Jan2009,-0.515414874,0.952954834,0.185157696,-1.114101615
951,6884,15Jan2009,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,20Jan2009,-0.471686595,1.101449814,0.452124043,-0.131309703
956,6916,04Jun2010,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,08Jun2010,-0.228658774,0.015166292,0.933659066,1.031435132
963,6980,18Feb2010,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,19Feb2010,-0.634071919,0.196136922,-0.675015142,-0.030794632
964,6982,16Nov2011,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,18Nov2011,-0.142870063,0.487221629,0.394440199,-1.499728524
965,6982,16Nov2011,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,18Nov2011,0.663897216,-2.557727021,0.68523326,1.010902415
966,6982,16Nov2011,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,18Nov2011,-0.165142569,0.448467338,0.663953865,-0.196094214
988,7110,07Aug2011,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,11Aug2011,,,,
1017,7430,08Jun2010,Medium,50,751.77,0.05,Regular Air,353.20,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,09Jun2010,-0.347884265,1.28706498,0.502326646,0.209537533
1073,7906,17Oct2009,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,17Oct2009,-0.193415593,0.54046227,0.479319931,-0.528479935
1154,8391,28Aug2011,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,29Aug2011,0.871313762,-2.018310071,-0.406399572,-0.527244964
1156,8419,29Sep2011,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1936,Small Box,0.38,01Oct2011,-0.595874619,0.281380045,-0.70830899,0.607364043
1157,8419,29Sep2011,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 214,Small Box,0.37,30Sep2011,-0.643502799,0.285622531,-0.543051892,1.577367355
1205,8833,04May2012,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,Nicole Hansen,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,08May2012,0.842766736,-1.279391592,1.981744983,-1.52222148
1226,8995,17May2011,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,18May2011,-0.861542244,0.020408575,-1.333025932,0.825894913
1227,8995,17May2011,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,18May2011,-0.540224816,0.753349486,0.081577822,1.699896674
1228,8995,17May2011,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,18May2011,0.615917515,0.047339116,0.678517219,1.012664662
1229,8995,17May2011,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,18May2011,-0.488565731,0.709107924,0.223545046,0.762932072
1230,8995,17May2011,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,19May2011,-0.014175441,-0.258626724,2.103959081,-1.145625508
1258,9126,17Nov2009,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,18Nov2009,0.291719494,0.94220824,0.935186702,-0.131213607
1259,9127,10Oct2011,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,12Oct2011,0.72799371,-2.052798179,0.257662541,-0.501625003
1299,9509,07Oct2012,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Consumer,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,08Oct2012,3.030197262,0.573072592,0.598982687,-0.808430286
1300,9509,07Oct2012,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1887,Small Box,0.37,08Oct2012,-0.782310307,-0.102026538,-1.345015937,1.447699876
1301,9509,07Oct2012,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1891,Small Box,0.38,07Oct2012,-0.17083635,0.987102469,-0.200123578,-0.849287091
1337,9763,13Aug2011,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,16Aug2011,-0.543856392,0.961616387,0.294397323,0.785346777
1370,9927,16Aug2011,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,17Aug2011,1.259728246,-1.102171856,1.161155044,-1.559467249
1371,9927,16Aug2011,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,17Aug2011,2.131734926,1.823963913,0.675461509,-1.026838955
1372,9927,16Aug2011,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,17Aug2011,0.07327145,-0.503094153,1.089972974,1.292375579
1380,10022,04Mar2009,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,04Mar2009,-0.871922456,-0.032317355,-1.510526914,0.172845466
